Pop1,Pop2,gen_dist,geo_dist,color
BSLO,MC,0.28606577,56.34570778,red
BSLO,MD,0.396440156,166.1545442,purple
BSLO,PG,0.457433051,128.1649535,red
BSLO,PT,0.284978052,40.57436549,green
BSLO,RL,0.402501824,95.48250706,red
BSLO,S100,0.439315794,39.15989326,green
BSLO,S110,0.400652601,12.31236352,green
BSLO,S8CR,0.13322195,11.60276125,green
BSLO,S90,0.326925452,34.1441663,green
BSLO,SOC,0.460130451,130.1372074,red
BSLO,SPC,0.190274097,5.408267776,green
BSLO,T1L,0.328553935,56.85386792,red
BSLO,VFTG,0.404761293,163.6647928,purple
BSLO,VL1,0.316879761,88.95869635,red
BSLO,VL2,0.348736048,92.64399239,red
CI,CIR,0.316596095,2.972912095,blue
CI,CRHS,0.67394263,144.0140458,brown
CI,CRPR,0.556709657,201.9038708,brown
CI,CT1,0.552561158,176.8148823,brown
CI,CT2,0.564237081,176.6238231,brown
CI,DN,0.116526748,6.036240457,blue
CI,EPHS,0.517160798,152.5514104,brown
CI,FS,0.712864024,162.621917,brown
CI,GSN,0.447831029,134.296848,brown
CI,HIB,1.242980463,210.5765806,brown
CI,JGSS,0.481213083,135.6773865,purple
CI,LOB,0.57180579,147.2325386,purple
CI,LW,0.562386107,110.2084707,purple
CI,MC,0.534216655,145.4335433,brown
CI,MD,-0.010006259,13.60326681,blue
CI,PG,0.737633762,200.8143493,brown
CI,PT,0.528222904,150.0503544,purple
CI,RL,0.703793412,144.3709494,brown
CI,S100,0.667570964,132.8177315,purple
CI,S110,0.617941099,142.4637281,purple
CI,S8CR,0.489635095,149.8853873,purple
CI,S90,0.581650523,137.6189886,purple
CI,SOC,0.816587959,191.2476612,brown
CI,SPC,0.470914348,158.4201063,purple
CI,T1L,0.526129832,149.4439159,brown
CI,VFTG,0.137929283,9.013457539,blue
CI,VL1,0.547690038,160.9310757,brown
CI,VL2,0.66700147,164.4800347,brown
CIR,CRHS,1.390475195,146.9416529,brown
CIR,CRPR,1.157302047,204.8684576,brown
CIR,CT1,1.313322616,179.7864285,brown
CIR,CT2,1.357712007,179.5945821,brown
CIR,DN,0.739336058,3.064546329,blue
CIR,EPHS,1.270840326,155.4589879,brown
CIR,FS,1.643362504,165.5718037,brown
CIR,GSN,0.977815053,136.6066612,brown
CIR,HIB,2.111623152,213.533241,brown
CIR,JGSS,1.295979879,137.9865639,purple
CIR,LOB,0.933573676,148.6004341,purple
CIR,LW,1.486088343,112.4953843,purple
CIR,MC,1.427625679,148.3242199,brown
CIR,MD,0.144851368,10.63128081,blue
CIR,PG,1.205140376,203.7775723,brown
CIR,PT,1.888826584,152.8508872,purple
CIR,RL,1.746618753,147.3420186,brown
CIR,S100,1.415699319,134.8242483,purple
CIR,S110,1.428426992,144.9269626,purple
CIR,S8CR,1.047187877,152.207852,purple
CIR,S90,1.408763319,139.6768028,purple
CIR,SOC,3.138590409,194.1949893,brown
CIR,SPC,0.983609719,160.9053834,purple
CIR,T1L,1.150537896,152.3357817,brown
CIR,VFTG,0.562820199,6.649632395,blue
CIR,VL1,0.854349232,163.901568,brown
CIR,VL2,1.575117988,167.4520385,brown
CRHS,CRPR,0.343787707,72.02399026,orange
