,BIL,BRC,BSL1,BSL3,BSLO,CI,CIR,CRHS,CRPR,CT1,CT2,DN,EPHS,FS,GSN,HIB,JGSS,LOB,LW,MC,MD,PG,PT,RL,S100,S110,S8CR,S90,SOC,SPC,T1L,VFTG,VL1,VL2
CT2,0.34644933,0.383835208,0.300037234,0.306233481,0.267556738,0.564237081,1.357712007,0.417775279,0.294107415,0.20496699,NA,0.428584763,0.306649164,0.365724813,0.329138228,0.874676377,0.38022474,0.459710592,0.42728725,0.295502461,0.611209778,0.486404835,0.318980141,0.470442641,0.547019198,0.487559019,0.329146127,0.460103082,0.580453975,0.312090845,0.408136835,0.485489544,0.253284395,0.281253803
DN,0.30796151,0.335424695,0.31832891,0.375615109,0.342831216,0.116526748,0.739336058,0.554867777,0.429122685,0.422589325,0.428584763,NA,0.373408518,0.577247293,0.295572804,1.158195375,0.300879765,0.464441524,0.378037251,0.365093823,0.191049751,0.640440492,0.316047944,0.543383455,0.50496074,0.436194498,0.387028462,0.427950594,0.613341885,0.369435572,0.392487831,0.006012192,0.461572494,0.515723503
EPHS,0.313274504,0.364644158,0.296683664,0.350338247,0.28902845,0.517160798,1.270840326,0.33364962,0.26756643,0.294940859,0.306649164,0.373408518,NA,0.323674633,0.310660362,0.769086163,0.334210673,0.459999769,0.406408706,0.185322714,0.563547399,0.449645062,0.276903832,0.493159334,0.519022674,0.463780879,0.357912932,0.434605354,0.583842696,0.324932672,0.213209571,0.440171443,0.228738829,0.337188015
FS,0.444240348,0.479909663,0.383412683,0.447408066,0.372972918,0.712864024,1.643362504,0.358660986,0.263726847,0.335489395,0.365724813,0.577247293,0.323674633,NA,0.419474533,0.561145526,0.536731638,0.603093571,0.55317582,0.325728877,0.805954757,0.452069666,0.403052728,0.57558322,0.722522219,0.627452173,0.493771738,0.612850562,0.683134731,0.424163125,0.497599608,0.60646668,0.10735848,0.297882794
GSN,0.07262593,0.268648488,0.205035148,0.274363885,0.259902778,0.447831029,0.977815053,0.469871654,0.332146607,0.325673052,0.329138228,0.295572804,0.310660362,0.419474533,NA,0.95914554,0.070656471,0.345384738,0.234796373,0.249132362,0.452195725,0.528451371,0.227150839,0.42479201,0.387573518,0.299778173,0.291411548,0.294879651,0.493094139,0.287112266,0.321363925,0.349192767,0.362502566,0.390709968
HIB,0.842033188,1.024487435,0.962040271,1.042764239,0.744217501,1.242980463,2.111623152,0.726959059,0.705766672,0.881300203,0.874676377,1.158195375,0.769086163,0.561145526,0.95914554,NA,1.12689091,0.96941684,1.2078868,0.843108918,1.458745259,0.854486784,1.066140184,1.200012589,1.264274137,1.219911885,1.020238023,1.23180919,1.304693,0.90430868,0.972983563,1.064039634,0.422847762,0.811380799
JGSS,0.040048936,0.312928936,0.27149608,0.325054592,0.308082067,0.481213083,1.295979879,0.513822037,0.359473259,0.367768632,0.38022474,0.300879765,0.334210673,0.536731638,0.070656471,1.12689091,NA,0.362351249,0.291248812,0.291509931,0.536845576,0.589337851,0.250798624,0.496928568,0.433122234,0.319045378,0.329640088,0.322290297,0.598664879,0.320509686,0.336082804,0.357983544,0.398464033,0.461083659
LOB,0.342804814,0.456078055,0.390274736,0.3889602,0.33283358,0.57180579,0.933573676,0.608038448,0.486193642,0.469472678,0.459710592,0.464441524,0.459999769,0.603093571,0.345384738,0.96941684,0.362351249,NA,0.434592341,0.442857757,0.597196592,0.644716684,0.430133793,0.58677604,0.529707599,0.495770803,0.392308116,0.45327847,0.671169291,0.38766541,0.462359722,0.504476446,0.480824276,0.555513259
LW,0.250380457,0.343440252,0.297619801,0.3542209,0.325945194,0.562386107,1.486088343,0.606045017,0.435657289,0.423725774,0.42728725,0.378037251,0.406408706,0.55317582,0.234796373,1.2078868,0.291248812,0.434592341,NA,0.344447947,0.631128231,0.664415549,0.343177573,0.542574262,0.492353231,0.414000827,0.385013428,0.417009744,0.742835408,0.365613866,0.424301069,0.419149897,0.427959678,0.494086716
MC,0.268556881,0.319401952,0.230454831,0.307229103,0.28606577,0.534216655,1.427625679,0.373948634,0.268569837,0.285337042,0.295502461,0.365093823,0.185322714,0.325728877,0.249132362,0.843108918,0.291509931,0.442857757,0.344447947,NA,0.580434138,0.493350633,0.236868319,0.473210092,0.472770162,0.419615049,0.328084951,0.39959395,0.585327927,0.303368635,0.229916198,0.42463,0.237481147,0.326095572
