replaced_pop_for_Fst
DN
VFTG
VFTG
VFTG
CI
CI
CI
CI
CI
CI
CI
DN
CI
NA1
NA1
NA1
NA1
CIR
CIR
CIR
CIR
CIR
DN
CIR
CIR
CIR
MD
MD
MD
DN
MD
CI
CI
CI
CI
VFTG
VFTG
VFTG
VFTG
DN
DN
DN
VFTG
MD
T1L
T1L
T1L
T1L
T1L
T1L
T1L
T1L
T1L
T1L
T1L
T1L
EPHS
EPHS
EPHS
EPHS
EPHS
EPHS
EPHS
EPHS
CRHS
CRHS
CRHS
CRHS
CRHS
CRHS
CRHS
CRHS
CRHS
CRHS
CRHS
CRHS
CRHS
CRHS
CRPR
CRPR
CRPR
CRPR
JGSS
JGSS
JGSS
JGSS
JGSS
JGSS
JGSS
NA1
NA1
NA1
CRPR
CRPR
CRPR
CRPR
CRPR
CRPR
SOC
SOC
SOC
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
PG
NA1
NA1
NA1
LW
LW
LW
LW
LW
LW
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSLO
BSL3
BSL3
BSL3
BSL3
BSL3
BSL3
BSL3
BSL3
BSL1
BSL1
BSL1
BSL1
BSL1
BSL1
GSN
GSN
GSN
GSN
GSN
GSN
GSN
GSN
GSN
BRC
BRC
BRC
BRC
BRC
BRC
BRC
BRC
BRC
FS
FS
FS
FS
FS
FS
FS
MC
MC
MC
VFTG
VFTG
VFTG
VFTG
VFTG
VFTG
VFTG
VFTG
VFTG
VFTG
VFTG
VFTG
MC
MC
MC
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
BIL
SPC
SPC
SPC
SPC
SPC
SPC
SPC
SPC
SPC
SPC
SPC
RL
RL
RL
RL
RL
RL
RL
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
HIB
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL1
VL2
VL2
VL2
VL2
VL2
VL2
VL2
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
LOB
S8CR
S8CR
S8CR
S8CR
S8CR
S8CR
S8CR
S8CR
S8CR
S8CR
S110
S110
S110
S110
S110
S110
S110
S110
S110
S90
S90
S90
S90
S90
S90
S90
S90
S100
S100
S100
S100
S100
S100
S100
S100
S100
S100
S100
S100
CT1
CT1
CT1
CT1
CT1
CT1
CT1
CT1
CT2
CT2
CT2
CT2
CT2
CT2
CT2
