,CI,CIR,DN,MD,VFTG
CI,0,2.972912095,6.036240457,13.60326681,9.013457539
CIR,2.972912095,0,3.064546329,10.63128081,6.649632395
DN,6.036240457,3.064546329,0,7.567041516,4.840360356
MD,13.60326681,10.63128081,7.567041516,0,7.327074144
VFTG,9.013457539,6.649632395,4.840360356,7.327074144,0
